identifier,name,description
contact,"Makes contact","User touches the target.  This triggers some abilities (e.g., []{ability:static}) and items (e.g., []{item:sticky-barb})."
charge,"Has a charging turn","This move has a charging turn that can be skipped with a []{item:power-herb}."
recharge,"Must recharge","The turn after this move is used, the Pokémon's action is skipped so it can recharge."
protect,"Blocked by Detect and Protect","This move will not work if the target has used []{move:detect} or []{move:protect} this turn."
reflectable,Reflectable,"This move may be reflected back at the user with []{move:magic-coat} or []{ability:magic-bounce}."
snatch,Snatchable,"This move will be stolen if another Pokémon has used []{move:snatch} this turn."
mirror,"Copied by Mirror Move","A Pokémon targeted by this move can use []{move:mirror-move} to copy it."
punch,Punch-based,"This move has 1.2× its usual power when used by a Pokémon with []{ability:iron-fist}."
sound,Sound-based,"Pokémon with []{ability:soundproof} are immune to this move."
gravity,"Unusable during Gravity","This move cannot be used in high []{move:gravity}."
defrost,"Defrosts when used","This move can be used while frozen to force the Pokémon to defrost."
distance,"Targets opposite side in triples","In triple battles, this move can be used on either side to target the farthest away opposing Pokémon."
heal,Heals,"This move is blocked by []{move:heal-block}."
authentic,"Ignores Substitute","This move ignores the target's []{move:substitute}."
powder,Powder-based,"Pokémon with []{ability:overcoat} and []{type:grass}-type Pokémon are immune to this move."
bite,Jaw-based,"This move has 1.5× its usual power when used by a Pokémon with []{ability:strong-jaw}."
pulse,Pulse-based,"This move has 1.5× its usual power when used by a Pokémon with []{ability:mega-launcher}."
ballistics,Ballistics-based,"This move is blocked by []{ability:bulletproof}."
mental,"Mental effects","This move is blocked by []{ability:aroma-veil} and cured by []{item:mental-herb}."
non-sky-battle,"Unusable during Sky Battles","This move is unusable during Sky Battles."
dance,Dance,"This move triggers []{ability:dancer}."
kings-rock,Affected by King's Rock,"Pokémon holding a []{item:kings-rock} have a 10% chance of causing the target to flinch."
