group,species_id,species_identifier,form_identifier
,19,rattata,alola
,20,raticate,alola
,20,raticate,totem-alola
,25,pikachu,cosplay
,25,pikachu,original-cap
,25,pikachu,hoenn-cap
,25,pikachu,sinnoh-cap
,25,pikachu,unova-cap
,25,pikachu,kalos-cap
,25,pikachu,alola-cap
,25,pikachu,partner-cap
,26,raichu,alola
,27,sandshrew,alola
,28,sandslash,alola
,37,vulpix,alola
,38,ninetales,alola
,50,diglett,alola
,51,dugtrio,alola
,52,meowth,alola
,53,persian,alola
,74,geodude,alola
,75,graveler,alola
,76,golem,alola
,88,grimer,alola
,89,muk,alola
,103,exeggutor,alola
,105,marowak,alola
,105,marowak,totem
,172,pichu,spiky-eared
,201,unown,a
,201,unown,b
,201,unown,c
,201,unown,d
,201,unown,e
,201,unown,g
,201,unown,h
,201,unown,i
,201,unown,j
,201,unown,k
,201,unown,l
,201,unown,m
,201,unown,n
,201,unown,o
,201,unown,p
,201,unown,q
,201,unown,r
,201,unown,s
,201,unown,t
,201,unown,u
,201,unown,v
,201,unown,w
,201,unown,x
,201,unown,y
,201,unown,z
,201,unown,exclamation
,201,unown,question
,351,castform,sunny
,351,castform,rainy
,351,castform,snowy
,414,mothim,plant
,414,mothim,sandy
,414,mothim,trash
,493,arceus,bug
,493,arceus,dark
,493,arceus,dragon
,493,arceus,electric
,493,arceus,fighting
,493,arceus,fire
,493,arceus,flying
,493,arceus,ghost
,493,arceus,grass
,493,arceus,ground
,493,arceus,ice
,493,arceus,poison
,493,arceus,psychic
,493,arceus,rock
,493,arceus,steel
,493,arceus,water
,493,arceus,unknown
,493,arceus,fairy
,555,darmanitan,zen
,648,meloetta,aria
,649,genesect,douse
,649,genesect,shock
,649,genesect,burn
,649,genesect,chill
,658,greninja,battle-bond
,658,greninja,ash
,664,scatterbug,icy-snow
,664,scatterbug,polar
,664,scatterbug,tundra
,664,scatterbug,continental
,664,scatterbug,garden
,664,scatterbug,elegant
,664,scatterbug,meadow
,664,scatterbug,modern
,664,scatterbug,marine
,664,scatterbug,archipelago
,664,scatterbug,high-plains
,664,scatterbug,sandstorm
,664,scatterbug,river
,664,scatterbug,monsoon
,664,scatterbug,savanna
,664,scatterbug,sun
,664,scatterbug,ocean
,664,scatterbug,jungle
,664,scatterbug,fancy
,664,scatterbug,poke-ball
,665,spewpa,icy-snow
,665,spewpa,polar
,665,spewpa,tundra
,665,spewpa,continental
,665,spewpa,garden
,665,spewpa,elegant
,665,spewpa,meadow
,665,spewpa,modern
,665,spewpa,marine
,665,spewpa,archipelago
,665,spewpa,high-plains
,665,spewpa,sandstorm
,665,spewpa,river
,665,spewpa,monsoon
,665,spewpa,savanna
,665,spewpa,sun
,665,spewpa,ocean
,665,spewpa,jungle
,665,spewpa,fancy
,665,spewpa,poke-ball
,669,flabebe,red
,669,flabebe,yellow
,669,flabebe,orange
,669,flabebe,blue
,669,flabebe,white
,670,floette,red
,670,floette,yellow
,670,floette,orange
,670,floette,blue
,670,floette,white
,670,floette,eternal
,671,florges,red
,671,florges,yellow
,671,florges,orange
,671,florges,blue
,671,florges,white
,676,furfrou,natural
,676,furfrou,debutante
,676,furfrou,matron
,676,furfrou,dandy
,676,furfrou,la-reine
,676,furfrou,kabuki
