group,species_id,species_identifier,form_identifier
,172,pichu,spiky-eared
,414,mothim,sandy
,414,mothim,trash
,493,arceus,unknown
,664,scatterbug,polar
,664,scatterbug,tundra
,664,scatterbug,continental
,664,scatterbug,garden
,664,scatterbug,elegant
,664,scatterbug,meadow
,664,scatterbug,modern
,664,scatterbug,marine
,664,scatterbug,archipelago
,664,scatterbug,high-plains
,664,scatterbug,sandstorm
,664,scatterbug,river
,664,scatterbug,monsoon
,664,scatterbug,savanna
,664,scatterbug,sun
,664,scatterbug,ocean
,664,scatterbug,jungle
,664,scatterbug,fancy
,664,scatterbug,poke-ball
,665,spewpa,polar
,665,spewpa,tundra
,665,spewpa,continental
,665,spewpa,garden
,665,spewpa,elegant
,665,spewpa,meadow
,665,spewpa,modern
,665,spewpa,marine
,665,spewpa,archipelago
,665,spewpa,high-plains
,665,spewpa,sandstorm
,665,spewpa,river
,665,spewpa,monsoon
,665,spewpa,savanna
,665,spewpa,sun
,665,spewpa,ocean
,665,spewpa,jungle
,665,spewpa,fancy
,665,spewpa,poke-ball
,773,silvally,fighting
,773,silvally,flying
,773,silvally,poison
,773,silvally,ground
,773,silvally,rock
,773,silvally,bug
,773,silvally,ghost
,773,silvally,steel
,773,silvally,fire
,773,silvally,water
,773,silvally,grass
,773,silvally,electric
,773,silvally,psychic
,773,silvally,ice
,773,silvally,dragon
,773,silvally,dark
,773,silvally,fairy
old,172,pichu,spiky-eared
old,414,mothim,plant
old,493,arceus,bug
old,493,arceus,dark
old,493,arceus,dragon
old,493,arceus,electric
old,493,arceus,fighting
old,493,arceus,fire
old,493,arceus,flying
old,493,arceus,ghost
old,493,arceus,grass
old,493,arceus,ground
old,493,arceus,ice
old,493,arceus,poison
old,493,arceus,psychic
old,493,arceus,rock
old,493,arceus,steel
old,493,arceus,water
old,493,arceus,unknown
