version_group,group,species_id,species_identifier,form_identifier
crystal,animated,201,unown,a
crystal,animated,201,unown,b
crystal,animated,201,unown,c
crystal,animated,201,unown,d
crystal,animated,201,unown,e
crystal,animated,201,unown,f
crystal,animated,201,unown,g
crystal,animated,201,unown,h
crystal,animated,201,unown,i
crystal,animated,201,unown,j
crystal,animated,201,unown,k
crystal,animated,201,unown,l
crystal,animated,201,unown,m
crystal,animated,201,unown,n
crystal,animated,201,unown,o
crystal,animated,201,unown,p
crystal,animated,201,unown,q
crystal,animated,201,unown,r
crystal,animated,201,unown,s
crystal,animated,201,unown,t
crystal,animated,201,unown,u
crystal,animated,201,unown,v
crystal,animated,201,unown,w
crystal,animated,201,unown,x
crystal,animated,201,unown,y
crystal,animated,201,unown,z
crystal,animated/shiny,201,unown,a
crystal,animated/shiny,201,unown,b
crystal,animated/shiny,201,unown,c
crystal,animated/shiny,201,unown,d
crystal,animated/shiny,201,unown,e
crystal,animated/shiny,201,unown,f
crystal,animated/shiny,201,unown,g
crystal,animated/shiny,201,unown,h
crystal,animated/shiny,201,unown,i
crystal,animated/shiny,201,unown,j
crystal,animated/shiny,201,unown,k
crystal,animated/shiny,201,unown,l
crystal,animated/shiny,201,unown,m
crystal,animated/shiny,201,unown,n
crystal,animated/shiny,201,unown,o
crystal,animated/shiny,201,unown,p
crystal,animated/shiny,201,unown,q
crystal,animated/shiny,201,unown,r
crystal,animated/shiny,201,unown,s
crystal,animated/shiny,201,unown,t
crystal,animated/shiny,201,unown,u
crystal,animated/shiny,201,unown,v
crystal,animated/shiny,201,unown,w
crystal,animated/shiny,201,unown,x
crystal,animated/shiny,201,unown,y
crystal,animated/shiny,201,unown,z
emerald,animated,351,castform,sunny
emerald,animated,351,castform,rainy
emerald,animated,351,castform,snowy
emerald,animated/shiny,351,castform,sunny
emerald,animated/shiny,351,castform,rainy
emerald,animated/shiny,351,castform,snowy
emerald,back,1,bulbasaur,NULL
emerald,back,2,ivysaur,NULL
emerald,back,3,venusaur,NULL
emerald,back,4,charmander,NULL
emerald,back,5,charmeleon,NULL
emerald,back,6,charizard,NULL
emerald,back,7,squirtle,NULL
emerald,back,8,wartortle,NULL
emerald,back,9,blastoise,NULL
emerald,back,10,caterpie,NULL
emerald,back,11,metapod,NULL
emerald,back,12,butterfree,NULL
emerald,back,13,weedle,NULL
emerald,back,14,kakuna,NULL
emerald,back,15,beedrill,NULL
emerald,back,16,pidgey,NULL
emerald,back,17,pidgeotto,NULL
emerald,back,18,pidgeot,NULL
emerald,back,19,rattata,NULL
emerald,back,20,raticate,NULL
emerald,back,21,spearow,NULL
emerald,back,22,fearow,NULL
emerald,back,23,ekans,NULL
emerald,back,24,arbok,NULL
emerald,back,25,pikachu,NULL
emerald,back,26,raichu,NULL
emerald,back,27,sandshrew,NULL
emerald,back,28,sandslash,NULL
emerald,back,29,nidoran-f,NULL
emerald,back,30,nidorina,NULL
emerald,back,31,nidoqueen,NULL
emerald,back,32,nidoran-m,NULL
emerald,back,33,nidorino,NULL
emerald,back,34,nidoking,NULL
emerald,back,35,clefairy,NULL
emerald,back,36,clefable,NULL
emerald,back,37,vulpix,NULL
emerald,back,38,ninetales,NULL
emerald,back,39,jigglypuff,NULL
emerald,back,40,wigglytuff,NULL
emerald,back,41,zubat,NULL
emerald,back,42,golbat,NULL
emerald,back,43,oddish,NULL
emerald,back,44,gloom,NULL
emerald,back,45,vileplume,NULL
emerald,back,46,paras,NULL
emerald,back,47,parasect,NULL
emerald,back,48,venonat,NULL
emerald,back,49,venomoth,NULL
emerald,back,50,diglett,NULL
emerald,back,51,dugtrio,NULL
emerald,back,52,meowth,NULL
emerald,back,53,persian,NULL
emerald,back,54,psyduck,NULL
emerald,back,55,golduck,NULL
emerald,back,56,mankey,NULL
emerald,back,57,primeape,NULL
emerald,back,58,growlithe,NULL
emerald,back,59,arcanine,NULL
emerald,back,60,poliwag,NULL
emerald,back,61,poliwhirl,NULL
emerald,back,62,poliwrath,NULL
emerald,back,63,abra,NULL
emerald,back,64,kadabra,NULL
emerald,back,65,alakazam,NULL
emerald,back,66,machop,NULL
emerald,back,67,machoke,NULL
emerald,back,68,machamp,NULL
emerald,back,69,bellsprout,NULL
emerald,back,70,weepinbell,NULL
emerald,back,71,victreebel,NULL
emerald,back,72,tentacool,NULL
emerald,back,73,tentacruel,NULL
emerald,back,74,geodude,NULL
emerald,back,75,graveler,NULL
emerald,back,76,golem,NULL
emerald,back,77,ponyta,NULL
emerald,back,78,rapidash,NULL
emerald,back,79,slowpoke,NULL
emerald,back,80,slowbro,NULL
emerald,back,81,magnemite,NULL
emerald,back,82,magneton,NULL
emerald,back,83,farfetchd,NULL
emerald,back,84,doduo,NULL
emerald,back,85,dodrio,NULL
emerald,back,86,seel,NULL
emerald,back,87,dewgong,NULL
emerald,back,88,grimer,NULL
emerald,back,89,muk,NULL
emerald,back,90,shellder,NULL
emerald,back,91,cloyster,NULL
emerald,back,92,gastly,NULL
emerald,back,93,haunter,NULL
emerald,back,94,gengar,NULL
emerald,back,95,onix,NULL
emerald,back,96,drowzee,NULL
emerald,back,97,hypno,NULL
emerald,back,98,krabby,NULL
emerald,back,99,kingler,NULL
emerald,back,100,voltorb,NULL
emerald,back,101,electrode,NULL
emerald,back,102,exeggcute,NULL
emerald,back,103,exeggutor,NULL
emerald,back,104,cubone,NULL
emerald,back,105,marowak,NULL
emerald,back,106,hitmonlee,NULL
emerald,back,107,hitmonchan,NULL
emerald,back,108,lickitung,NULL
emerald,back,109,koffing,NULL
emerald,back,110,weezing,NULL
emerald,back,111,rhyhorn,NULL
emerald,back,112,rhydon,NULL
emerald,back,113,chansey,NULL
emerald,back,114,tangela,NULL
emerald,back,115,kangaskhan,NULL
emerald,back,116,horsea,NULL
emerald,back,117,seadra,NULL
emerald,back,118,goldeen,NULL
emerald,back,119,seaking,NULL
emerald,back,120,staryu,NULL
emerald,back,121,starmie,NULL
emerald,back,122,mr-mime,NULL
emerald,back,123,scyther,NULL
emerald,back,124,jynx,NULL
emerald,back,125,electabuzz,NULL
emerald,back,126,magmar,NULL
emerald,back,127,pinsir,NULL
emerald,back,128,tauros,NULL
emerald,back,129,magikarp,NULL
emerald,back,130,gyarados,NULL
emerald,back,131,lapras,NULL
emerald,back,132,ditto,NULL
emerald,back,133,eevee,NULL
emerald,back,134,vaporeon,NULL
emerald,back,135,jolteon,NULL
emerald,back,136,flareon,NULL
emerald,back,137,porygon,NULL
emerald,back,138,omanyte,NULL
emerald,back,139,omastar,NULL
emerald,back,140,kabuto,NULL
emerald,back,141,kabutops,NULL
emerald,back,142,aerodactyl,NULL
emerald,back,143,snorlax,NULL
emerald,back,144,articuno,NULL
emerald,back,145,zapdos,NULL
emerald,back,146,moltres,NULL
emerald,back,147,dratini,NULL
emerald,back,148,dragonair,NULL
emerald,back,149,dragonite,NULL
emerald,back,150,mewtwo,NULL
emerald,back,151,mew,NULL
emerald,back,152,chikorita,NULL
emerald,back,153,bayleef,NULL
emerald,back,154,meganium,NULL
emerald,back,155,cyndaquil,NULL
emerald,back,156,quilava,NULL
emerald,back,157,typhlosion,NULL
emerald,back,158,totodile,NULL
emerald,back,159,croconaw,NULL
emerald,back,160,feraligatr,NULL
emerald,back,161,sentret,NULL
emerald,back,162,furret,NULL
emerald,back,163,hoothoot,NULL
emerald,back,164,noctowl,NULL
emerald,back,165,ledyba,NULL
emerald,back,166,ledian,NULL
emerald,back,167,spinarak,NULL
emerald,back,168,ariados,NULL
emerald,back,169,crobat,NULL
emerald,back,170,chinchou,NULL
emerald,back,171,lanturn,NULL
emerald,back,172,pichu,NULL
emerald,back,173,cleffa,NULL
emerald,back,174,igglybuff,NULL
emerald,back,175,togepi,NULL
emerald,back,176,togetic,NULL
emerald,back,177,natu,NULL
emerald,back,178,xatu,NULL
emerald,back,179,mareep,NULL
emerald,back,180,flaaffy,NULL
emerald,back,181,ampharos,NULL
emerald,back,182,bellossom,NULL
emerald,back,183,marill,NULL
emerald,back,184,azumarill,NULL
emerald,back,185,sudowoodo,NULL
emerald,back,186,politoed,NULL
emerald,back,187,hoppip,NULL
emerald,back,188,skiploom,NULL
emerald,back,189,jumpluff,NULL
emerald,back,190,aipom,NULL
emerald,back,191,sunkern,NULL
emerald,back,192,sunflora,NULL
emerald,back,193,yanma,NULL
emerald,back,194,wooper,NULL
emerald,back,195,quagsire,NULL
emerald,back,196,espeon,NULL
emerald,back,197,umbreon,NULL
emerald,back,198,murkrow,NULL
emerald,back,199,slowking,NULL
emerald,back,200,misdreavus,NULL
emerald,back,201,unown,a
emerald,back,201,unown,b
emerald,back,201,unown,c
emerald,back,201,unown,d
emerald,back,201,unown,e
emerald,back,201,unown,f
emerald,back,201,unown,g
emerald,back,201,unown,h
emerald,back,201,unown,i
emerald,back,201,unown,j
emerald,back,201,unown,k
emerald,back,201,unown,l
emerald,back,201,unown,m
emerald,back,201,unown,n
emerald,back,201,unown,o
emerald,back,201,unown,p
emerald,back,201,unown,q
emerald,back,201,unown,r
emerald,back,201,unown,s
emerald,back,201,unown,t
emerald,back,201,unown,u
emerald,back,201,unown,v
emerald,back,201,unown,w
emerald,back,201,unown,x
emerald,back,201,unown,y
emerald,back,201,unown,z
emerald,back,201,unown,exclamation
emerald,back,201,unown,question
emerald,back,202,wobbuffet,NULL
emerald,back,203,girafarig,NULL
emerald,back,204,pineco,NULL
emerald,back,205,forretress,NULL
emerald,back,206,dunsparce,NULL
emerald,back,207,gligar,NULL
emerald,back,208,steelix,NULL
emerald,back,209,snubbull,NULL
emerald,back,210,granbull,NULL
emerald,back,211,qwilfish,NULL
emerald,back,212,scizor,NULL
emerald,back,213,shuckle,NULL
emerald,back,214,heracross,NULL
emerald,back,215,sneasel,NULL
emerald,back,216,teddiursa,NULL
emerald,back,217,ursaring,NULL
emerald,back,218,slugma,NULL
emerald,back,219,magcargo,NULL
emerald,back,220,swinub,NULL
emerald,back,221,piloswine,NULL
emerald,back,222,corsola,NULL
emerald,back,223,remoraid,NULL
emerald,back,224,octillery,NULL
emerald,back,225,delibird,NULL
emerald,back,226,mantine,NULL
emerald,back,227,skarmory,NULL
emerald,back,228,houndour,NULL
emerald,back,229,houndoom,NULL
emerald,back,230,kingdra,NULL
emerald,back,231,phanpy,NULL
emerald,back,232,donphan,NULL
emerald,back,233,porygon2,NULL
emerald,back,234,stantler,NULL
emerald,back,235,smeargle,NULL
emerald,back,236,tyrogue,NULL
emerald,back,237,hitmontop,NULL
emerald,back,238,smoochum,NULL
emerald,back,239,elekid,NULL
emerald,back,240,magby,NULL
emerald,back,241,miltank,NULL
emerald,back,242,blissey,NULL
emerald,back,243,raikou,NULL
emerald,back,244,entei,NULL
emerald,back,245,suicune,NULL
emerald,back,246,larvitar,NULL
emerald,back,247,pupitar,NULL
emerald,back,248,tyranitar,NULL
emerald,back,249,lugia,NULL
emerald,back,250,ho-oh,NULL
emerald,back,251,celebi,NULL
emerald,back,252,treecko,NULL
emerald,back,253,grovyle,NULL
emerald,back,254,sceptile,NULL
emerald,back,255,torchic,NULL
emerald,back,256,combusken,NULL
emerald,back,257,blaziken,NULL
emerald,back,258,mudkip,NULL
emerald,back,259,marshtomp,NULL
emerald,back,260,swampert,NULL
emerald,back,261,poochyena,NULL
emerald,back,262,mightyena,NULL
emerald,back,263,zigzagoon,NULL
emerald,back,264,linoone,NULL
emerald,back,265,wurmple,NULL
emerald,back,266,silcoon,NULL
emerald,back,267,beautifly,NULL
emerald,back,268,cascoon,NULL
emerald,back,269,dustox,NULL
emerald,back,270,lotad,NULL
emerald,back,271,lombre,NULL
emerald,back,272,ludicolo,NULL
emerald,back,273,seedot,NULL
emerald,back,274,nuzleaf,NULL
emerald,back,275,shiftry,NULL
emerald,back,276,taillow,NULL
emerald,back,277,swellow,NULL
emerald,back,278,wingull,NULL
emerald,back,279,pelipper,NULL
emerald,back,280,ralts,NULL
emerald,back,281,kirlia,NULL
emerald,back,282,gardevoir,NULL
